카드이름,카드혜택,연회비,전월실적
신한카드 Eats More(곰표),"전가맹점 결제금액
1천원미만 기본적립
추가적립업종 건당
최대 1,600P 추가적립
환전수수료
면제 서비스","국내전용 15,000원 / 해외겸용 18,000원",전월실적 40만원 이상
신한카드 Noon,"점심
30% 할인
커피전문점/제과점
2,000원 할인
택시
20% 할인","해외겸용 8,000원",전월실적 50만원 이상
T우주 신한카드,"우주패스 구독료
최대9,900원 캐시백
할인점/온라인쇼핑
최대5% 적립
생활친화업종
최대10% 적립","국내전용 15,000원 / 해외겸용 18,000원",전월실적 없음
신한카드 23.5°,"버스,지하철
200원 할인
마이신한포인트
1% 적립
스타벅스
4,000원 할인","국내전용 10,000원 / 해외겸용 14,000원",전월실적 없음
위버스 신한카드(BTS),"위버스샵
4% 적립
하이브인사이트
50% 할인
Gift서비스
연1회 제공","국내전용 35,000원 / 해외겸용 35,000원",전월실적 30만원 이상
다이소 신한카드,"다이소
30% 할인
영화
20% 할인
편의점
10% 할인","해외겸용 10,000원 / 해외겸용 13,000원",전월실적 30만원 이상
L.PAY 신한카드,"국내/해외이용금액
0.1% 적립
교통/롯데더드림영역
1% 적립
롯데더드림영역
최대6% 추가적립","국내전용 17,000원 / 해외겸용 20,000원",전월실적 없음
신한카드 혼디모앙,"전 가맹점
0.2% 기본적립
대형마트, 지역유통점 최대
10% 적립
전기차 충전소
30% 적립","국내전용 30,000원 / 해외겸용 33,000원",전월실적 없음
위버스 신한카드(SEVENTEEN),"위버스샵
4% 적립
하이브인사이트
50% 할인
Gift서비스
연1회 제공","국내전용 35,000원 / 해외겸용 35,000원",전월실적 30만원 이상
IKEA(이케아) Family with 신한카드,"IKEA 매장
10% 할인
백화점/할인점
5% 할인
편의점
5% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 30만원 이상
넷마블 신한카드,"앱스토어
10% 할인
편의점
10% 할인
CGV
20% 할인","국내전용 10,000원 / 해외겸용 13,000원",전월실적 40만원 이상
땡겨요 신한카드,"땡겨요앱 이용시
10% 포인트 적립
편의점 이용시
5% 포인트 적립","국내전용 15,000원 / 해외겸용 18,000원",전월실적 30만원 이상
신세계 The BLOSSOM 신한카드,"신세계백화점
7% 할인
신세계 계열사
5% 할인
생활/쇼핑
5% 할인","국내전용 45,000원 / 해외겸용 48,000원",전월실적 50만원 이상
EDIYA 신한카드 Tasty,"EDIYA COFFEE
50% 할인
쇼핑
10% 할인
올리브영, Watsons
10% 할인","해외겸용 10,000원",전월실적 30만원 이상
New LG전자 베스트샵 PLUS 신한카드,"LG전자
5~10% 할인
베스트플러스
최고 3% 할부포인트 적립
롯데월드
50% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 50만원 이상
신한카드 Always FAN,"신한 FAN페이
5% 할인
편의점
10% 할인
올리브영
10% 할인","해외겸용 10,000원",전월실적 50만원 이상
신한카드 My TeenS,"GS25 기프티콘 최대
6천원 증정
GS25
행사상품 할인","국내전용 1,000원",전월실적 없음
요기요 신한카드,"요기요
20% 할인
요기요
10% 추가캐시백
정기결제건
15% 할인","국내전용 24,000원 / 해외겸용 27,000원",전월실적 50만원 이상
더본 신한카드,"뺵다방
30% 할인
편의점
5% 할인
택시
10% 할인","해외겸용 10,000원",전월실적 없음
위메프페이 신한카드,"국내외가맹점
0.7% 기본적립
위메프페이
2% 특별적립
위메프
~2% 적립","해외겸용 12,000원",전월실적 없음
Paydays 신한카드,"국내·외 전 가맹점
0.6% 적립","국내전용 15,000원 / 해외겸용18,000원",전월실적 없음
SOCAR 제휴 SOCAR 신한카드,"SOCAR
30% 할인
KTX/SRT
10% 할인
커피전문점
20% 할인","해외겸용 13,000원",전월실적 30만원 이상
수소차 충전할인 신한카드,"수소차 충전요금
10% 할인
주차장, 자동차 정비/세차
10% 할인
할인점/편의점/배달앱
5% 할인","국내전용 20,000원 / 해외겸용 23,000원",전월실적 30만원 이상
신한카드 Cube,"선택서비스
5% 할인
1천원미만의
잔돈 할인
모든주유소
60원/L 할인","국내전용 10,000원 / 해외겸용 13,000원",전월실적 30만원 이상
위버스 신한카드(ENHYPEN),"위버스샵
4% 적립
하이브인사이트
50% 할인
Gift서비스
연1회 제공","국내전용 35,000원 / 해외겸용 35,000원",전월실적 30만원 이상
리디 신한카드,"리디북스
20% 할인
SPA
10% 할인
영화
4천원 할인","해외겸용 10,000원",전월실적 30만원 이상
메가쇼핑 신한카드,"메가마트
1% 적립
모든가맹점
0.5% 적립
대중교통
3~5% 할인","국내전용 12,000원 / 해외겸용 15,000원",전월실적 없음
모바일 Tmoney 신한카드,"모바일 Tmoney App
20% 할인
스타벅스
50% 할인
통신요금
5% 할인","해외겸용 10,000원",전월실적 30만원 이상
신세계사이먼 프리미엄 아울렛 신한카드,"신세계아울렛
10% 할인
신세계 계열사
7% 할인
주유
40원/L 할인","국내전용 20,000원 / 해외겸용 23,000원",전월실적 40만원 이상
위버스 신한카드(TXT),"위버스샵
4% 적립
하이브인사이트
50% 할인
Gift서비스
연1회 제공","국내전용 35,000원 / 해외겸용 35,000원",전월실적 30만원 이상
제주신화월드 신한카드,"제주신화월드 객실
최대 15% 할인
신세계사이먼 프리미엄
1만5천원 할인
생활 영역
10% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 50만원 이상
LG BEST SHOP 486 신한카드,"장기할부 혜택
연 6.5% 수수료
할부이용 시
11,000원 캐시백","국내전용 22,000원 / 해외겸용 25,000원",전월실적 50만원 이상
Z:IN 인테리어 신한카드,"Z:IN
장기할부 수수료 혜택
Z:IN
할부캐시백 제공","국내전용 22,000원 / 해외겸용 25,000원",전월실적 없음
베베쿡 신한카드,"베베쿡
10% 할인
할인점/백화점 /마켓컬리
5% 할인
커피/잡화/온라인서점
5% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 50만원 이상
신한 햇살론카드,"생활쇼핑 가맹점
7% 할인
커피전문점/제과점
10% 할인
쇼핑몰/할인점
10% 할인","국내전용 5,000원",전월실적 30만원 이상
아모레퍼시픽 신한카드,"아모레퍼시픽 뷰티포인트
12% 적립
특별가맹점 뷰티포인트
5% 적립","국내전용 17,000원 / 해외겸용 20,000원",전월실적 30만원 이상
신한카드 Deep Dream 체크,"모두드림
0.2% 적립
더해드림
0.6% 적립
챙겨드림
1.0% 적립",해외겸용 없음,전월실적 없음
신한카드 On 체크(잔망루피),"간편결제
2% 적립
생활편의
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
신한카드 Hey Young 체크,"대중교통
5% 캐시백
영화
5천원 캐시백
간편결제
1% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
네이버페이 신한카드 체크 S2,"네이버 최대
2% 적립
네이버 외
0.1% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
