카드이름,카드혜택,연회비,전월실적
이랜드리테일 롯데카드,"이랜드리테일
7% 할인
주요 마트
5% 할인","국내전용 10,000원 / 해외겸용 15,000원",전월실적 없음
롯데포인트플러스 체크카드,"L.POINT제휴사
더블 적립",국내전용 없음,전월실적 없음
롯데체크카드,"전국 가맹점
0.2% L.POINT 적립
SK주유소
50P/L 주유포인트 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
롯데 국민행복 체크카드,"온라인쇼핑
5% 캐시백
병원/약국
5% 캐시백
교육비
10% 캐시백",국내전용 없음,전월실적 30만원 이상
티니패스 카드,"교통기능
사용 가능
소득공제
30% 혜택
온라인 쇼핑몰
이용 가능",국내전용 없음,전월실적 없음
LIKIT all 체크카드,"모든가맹점
0.2% 기본캐시백
주말 및 공휴일
0.2% 추가캐시백",국내전용 없음,전월실적 없음
위클리 VISA 롯데체크카드,"최대
2% 캐시백
놀이공원 최대
50% 현장할인
T.G.I.FRIDAY'S
10% 현장할인",해외겸용 없음,전월실적 없음
쇼퍼홀릭 롯데홈쇼핑 롯데체크카드,"롯데홈쇼핑
2% 포인트적립
놀이공원
50% 할인
미용실 최대
20% 할인",국내전용 없음,전월실적 없음
롯데체크카드,"L.POINT
0.2% 적립",국내전용 없음,전월실적 없음
E1 LPG 롯데 체크카드,"E1 LPG 충전소
리터당 47포인트 적립
자동차
정비 서비스 제공",국내전용 없음,전월실적 20만원 이상
롯데 플래티넘 체크카드,"이용금액
0.2% L.POINT 적립
VISA
플래티넘 서비스","해외겸용 1,000원",전월실적 10만원 이상
LIKIT fun 체크카드,"이동통신요금
2천원 캐시백
편의점
1천원 캐시백
커피
1천원 캐시백",국내전용 없음,전월실적 30만원 이상
LIKIT on 체크카드,"온라인 이용 건
3% 캐시백
소셜커머스/오픈마켓
5% 캐시백",국내전용 없음,전월실적 30만원 이상
교보문고 롯데체크카드,"놀이공원
50% 할인
롯데자이언츠
20% 할인
미용실 최대
20% 할인",국내전용 없음,전월실적 없음
AIA생명 롯데 리얼체크카드,"AIA생명 보험료
5천원 할인",국내전용 없음,전월실적 30만원 이상
L.PAY by 롤라카드(체크),"L.POINT
0.2% 적립
클럽롤라 서비스
무료 제공
SK주유소
50P/L 적립",국내전용 없음,전월실적 10만원 이상
세븐일레븐 멤버십롯데체크카드,"세븐일레븐
7포인트 적립
평생
연회비 면제
미용실
최대 20% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
1Q Daily+,"국내가맹점
0.3~1% 적립
플러스적립
5,000머니 적립
SK주유소
3,000원 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
MULTI Young(멀티 영) 카드,"디지털구독
30% 할인
통신요금
10% 할인
편의점
10% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 20만원 이상
MULTI Any(멀티 애니) 카드,"대중교통
4% 적립
배달앱
3% 적립
마트
2% 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
MULTI Oil(멀티 오일) 카드,"주유(LPG포함)
10% 할인
커피
5% 할인
페이결제
1% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
MULTI Global(멀티 글로벌) 카드,"간편결제
1% 적립
전가맹점
0.8% 적립
여행 최대
4% 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 30만원 이상
하나 CLUB H 아메리칸 익스프레스 리저브 카드,"국내 1,000원당
1마일리지 적립
해외 1,000원당
2마일리지 적립
인천공항 라운지
무료 입장","해외겸용 150,000원",전월실적 50만원 이상
#tag1카드 Navy,"아파트관리비
5~10% 할인
통신요금
5~10% 할인
주유소
최대 60원/L 할인","해외겸용 12,000원",전월실적 40만원 이상
MULTI On(멀티 온) 카드,"디지털구독
4% 적립
배달앱
3% 적립
온라인쇼핑
2% 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
1Q Shopping+,"마트,백화점
최대 40,000머니 적립
플러스적립
5,000머니 적립
스타벅스,커피빈
4,000원 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
#tag1카드 Orange,"커피
25~50% 할인
편의점
5~10% 할인
통신요금
5~10% 할인","해외겸용 12,000원",전월실적 30만원 이상
MULTI Living(멀티 리빙) 카드,"온라인쇼핑 최대
10% 할인
주유(LPG포함) 최대
10% 할인
자동이체
5% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
1Q Global VIVA,"국제브랜드수수료
1% 면제
해외가맹점
5~9% 적립
저가항공,면세점
5~9% 적립","국내전용 13,000원 / 해외겸용 15,000원",전월실적 30만원 이상
내맘대로 쁨 카드,"EV충전
20% 하나머니 적립
쇼핑/패션/명품
5% 하나머니 적립
페이결제 최대
1.5% 하나머니 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 50만원 이상
CLUB SK(클럽 SK)카드,"SK텔레콤 최대
15,000원 청구할인
SK주유소 최대
150원/L 청구할인
마트/학원
5~10% 청구할인","국내전용 6,000원 / 해외겸용 7,000원",전월실적 40만원 이상
슈퍼쇼퍼카드,"국내 가맹점
0.7% 청구할인
국내 온라인 가맹점
1.7% 청구할인
해외 가맹점
1.7% 청구할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
my pass 마패 카드,"버스/지하철
20% 할인
편의점
10% 할인
커피
10% 할인","해외겸용 17,000원",전월실적 50만원 이상
#MY WAY 카드,"대중교통 건당
300원 할인
편의점 건당
300원 할인
디지털구독 건당
3,000원 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 20만원 이상
CLUB Signature SKYPASS 카드,"연 1회
Special Service 제공
월 2회/연 6회
LoungeKey 제공
1,500원당
2~1마일 적립","해외겸용 145,000원",전월실적 없음
하나멤버스 1Q카드 내맘대로,"점심/배달앱/베이커리
7% 적립
온/오프라인쇼핑
7% 적립
커피
30~7% 적립","해외겸용 10,000원",전월실적 30만원 이상
하나 스카이패스 아멕스 플래티늄 카드,"국내 1천원당
1마일 적립
해외 1천원당
2마일 적립
인천공항라운지
무료 입장","해외겸용 45,000원",전월실적 없음
Smart Any 카드(스마트애니),"국내가맹점
0.8% 할인
온라인가맹점
1.3% 할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
1Q Special+,"지역쇼핑/주유
5,000 하나머니 적립
온라인쇼핑
5,000 하나머니 적립
음식점
1,000원 청구할인","해외겸용 10,000원",전월실적 30만원 이상
토스 신용카드,"해외가맹점
2% 적립
해외ATM이용
건당$3 면제
VISA
브랜드 서비스","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
모두의 쇼핑,"온라인쇼핑
10% 적립
생활쇼핑
5% 적립
아울렛
5% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
Any PLUS 카드,"국내가맹점
0.7% 할인
국내온라인가맹점
1.7% 할인
해외가맹점
1.7% 할인","해외겸용 15,000원",전월실적 없음
신세계 the Mile 하나카드,"신세계백화점/면세점
10마일 적립
국내외가맹점
7마일 적립
신세계면세점
멤버십 우대 서비스","해외겸용 35,000원",전월실적 없음
원더카드 FREE,"국내외가맹점
0.7% 할인
간편결제
1.2% 할인
쿠팡/마트/베이커리
2% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
알뜰교통 my pass 마패 신용카드(Hana-BC),"대중교통
20% 할인
편의점
10% 할인
커피
10% 할인","해외겸용 17,000원",전월실적 50만원 이상
1Q Daily+[40주년 에디션],"국내가맹점
최대1% 적립
플러스머니
5천머니 적립
SK주유소
3천원 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
원더카드 LIVING,"아파트관리비
10% 할인
병원&약국
10% 할인
커피
10% 할인","국내전용 19,900원 / 해외겸용 19,900원",전월실적 40만원 이상
CLUB Primus Skypass 카드,"1,500원당
1마일 기본적립
면세점/레저 등
2~5마일 특별적립
Free Package
연1회 제공","해외겸용 100,000원",전월실적 없음
CLUB1카드 200,"항공 마일리지
대한항공/아시아나항공 적립
대한항공 기내면세점
10% 청구할인
trendy OPTION
연 3개 선택","해외겸용 2,000,000원",전월실적 없음
Mile 1.8 대한항공,"국내/외 1,500원당
2.0~1.8 HANA Mile 적립
HANA Mile
최대 5,000점 보너스적립
Priority Pass
연 12회 무료이용","해외겸용 130,000원",전월실적 없음
하나멤버스 1Q(원큐) 카드 Living,"주유소/충전소 10만원당
5,000머니 적립
학원 10만원당
5,000머니 적립
교통/통신/공과금 10만원당
5,000머니 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
CLUB Premier Travel 카드,"국내 LCC
50% 할인
전세계 제휴 라운지
무료 입장
국내 면세점
20% 할인","해외겸용 200,000원",전월실적 없음
하나멤버스 1Q(원큐) 카드 Daily,"국내가맹점
0.5% 적립
온라인쇼핑 10만원당
5,000머니 적립
통신/교통/공과금 10만원당
5,000머니 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
통커 카드,"스타벅스
30~50% 할인
이동통신요금
10% 할인
온라인쇼핑
5% 할인","해외겸용 17,000원",전월실적 50만원 이상
Mile 1.6 대한항공,"해외 1,500원당
1.8 HANA Mile 적립
국내 1,500원당
1.6 HANA Mile 적립
CGV/롯데시네마
4,000원 할인","해외겸용 45,000원",전월실적 없음
카카오뱅크 하나카드,"디지털 구독
50% 할인
간편결제
1% 할인
모든가맹점
0.5% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
원더카드 T,"SK텔레콤/T우주
20% 할인
T멤버십 바코드 결제
20% 할인
SK에너지
10% 할인","국내전용 19,900원 / 해외겸용 19,900원",전월실적 40만원 이상
1Q My Lunch,"점심식사
10% 적립
SK에너지
70머니/L 적립
통신/교통
7% 적립","국내전용 15,000원 / 해외겸용 17,000원",전월실적 30만원 이상
CLUB Signature Asiana Club 카드,"연 1회
Special Service 제공
월 2회/연 6회
LoungeKey 제공
1,000원당
2~1마일 적립","해외겸용 145,000원",전월실적 없음
후불하이패스 카드,"하나
후불하이패스 전용 기능
출퇴근 통행료
최대 50% 자동할인","국내전용 5,000원",전월실적 없음
삼프로TV 하나카드,"특화서비스 월 통합
최대 3만원 청구할인
간편결제
1% 청구할인
국내/외 전 가맹점
0.7% 청구할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
하나 원큐 카드,"하나원큐페이 결제
1.8% 적립
국내 전 가맹점
0.8% 적립
해외 전 가맹점
1.8% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
원더카드 DAILY,"영상 스트리밍
40% 청구할인
원큐페이 맛집
10% 청구할인
대중교통
10% 청구할인","국내전용 19,900원 / 해외겸용 19,900원",전월실적 40만원 이상
1Q Living+,"주유,학원
최대 40,000머니 적립
플러스적립
5,000머니 적립
국내SSM
1,000원 할인","해외겸용 10,000원",전월실적 30만원 이상
Mile 1.8 아시아나,"국내/외 1,500원당
2.0~1.8 HANA Mile 적립
HANA Mile
최대 5,000점 보너스적립
Priority Pass
연 12회 무료이용","해외겸용 130,000원",전월실적 없음
모두의 건강,"저녁식사
5% 적립
온라인결제
5% 적립
병원/동물병원
5% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
모두의 신세계 하나카드,"신세계백화점
5% 할인
간편결제
5% 할인
커피/제과/택시
20% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
언택트 L 하나카드,"간편결제 최대
10% 할인
교통요금 최대
10% 할인
온라인쇼핑
5% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
카카오페이 신용카드,"카카오페이결제
25% 할인
쇼핑/뷰티
10% 할인
택시/영화/커피
10% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 40만원 이상
CLUB Premier Hotel 카드,"국내특급호텔
50% 할인
전세계 제휴 라운지
무료 입장
리터당
100원 할인","해외겸용 200,000원",전월실적 없음
CLUB Primus Asiana Club 카드,"1,000원당
1마일 기본적립
면세점/레저 등
2~5마일 특별적립
Free Package
연1회 제공","해외겸용 100,000원",전월실적 없음
원더카드 HAPPY,"국내외가맹점
0.5% 할인
간편결제
5% 할인
동물병원
5% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
KT Super DC,"통신요금 최대
1만5천원 할인
5대 커피업종
5% 할인
영화
3천원 할인","국내전용 12,000원 / 해외겸용 15,000원",전월실적 없음
#any 하나카드,"디지털 구독
50% 청구할인
디지털 결제
1% 청구할인
국내/외 전 가맹점
0.5% 청구할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 50만원 이상
LG전자 렌탈 플러스 하나카드,"LG전자 렌탈요금
월 1만3천~2만3천원 할인 서비스","해외겸용 15,000원 / 해외겸용 20,000원",전월실적 30만원 이상
K리그 축덕 하나멤버스 1Q Play1 카드,"통신/대중교통
7~10% 적립
온라인/편의점
7~10% 적립
영화 1만원 이상
5,000원 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
하나멤버스 1Q(원큐) 카드 Shopping,"백화점/마트 10만원당
5,000머니 적립
온라인쇼핑 10만원당
5,000머니 적립
아파트관리비
5,000머니 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
CLUB Primus Point 카드,"모든가맹점
1% 기본적립
면세점/레저 등
2~5% 특별적립
Free Package
연1회 제공","해외겸용 100,000원",전월실적 없음
카카오 T 하나카드,"카카오T(택시,대리 등)
2천원 할인
주유소
60원/L 할인
KTX, SRT
5% 할인","국내전용 20,000원 / 해외겸용 22,000원",전월실적 30만원 이상
New 제주항공 하나카드,"여행특화 1천원당
30p 적립
쇼핑/구독/레저 1천원당
20p 적립
국내 전가맹점 1천원당
5p 적립","국내전용 17,000원 / 해외겸용 17,000원",전월실적 30만원 이상
하나로마트 하나카드,"하나로마트
10% 청구할인
파리바게뜨, 파리크라상
5% 청구할인
통신요금 자동이체
5% 청구할인","해외겸용 15,000원",전월실적 30만원 이상
펫 사랑 카드,"동물병원
10% 적립
온라인쇼핑
10% 적립
대중교통,시외버스 등
7% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
소노시즌 하나카드,"소노시즌 자동이체
9천~2만원/월 청구할인","국내전용 25,000원 / 해외겸용 25,000원",전월실적 없음
Mile 1.6 아시아나,"해외 1,500원당
1.8 HANA Mile 적립
국내 1,500원당
1.6 HANA Mile 적립
CGV/롯데시네마
4,000원 할인","해외겸용 45,000원",전월실적 없음
프레딧 하나카드,"프레딧
10% 청구할인
커피/베이커리
10% 청구할인
국내 외 전 가맹점
0.5% 청구할인",국내전용 12000원 / 해외겸용 12000원,전월실적 30만원 이상
한화손해보험 카드,"자동차 보험료
최대 3만원 할인
SK주유소
50원/L 할인
대중교통
10% 할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 20만원 이상
랭킹닭컴 하나카드,"랭킹닭컴
7& 청구할인
배달앱
5% 청구할인
스타벅스, 커피빈
4천원 청구할인","해외겸용 15,000원",전월실적 30만원 이상
닥터구디 T&R(티앤알) 카드,"통신요금 자동이체
최대 15,000원 청구할인
렌탈요금 자동이체
최대 15,000원 청구할인
보험사 자동이체
최대 15,000원 청구할인","국내전용 25,000원 / 해외겸용 25,000원",전월실적 40만원 이상
풀무원 하나카드,"풀무원 가맹점
월 1~2만원 청구할인
온라인쇼핑 합산 10만원당
5천 적립","국내전용 20,000원 / 해외겸용 23,000원",전월실적 50만원 이상
바디프랜드 하나카드,"바디프렌드 렌탈료
13,000원 청구할인
대형마트
3% 청구할인
커피빈
10% 청구할인","해외겸용 12,000원",전월실적 30만원 이상
이디야 하나카드,"이디야 멤버스 음료쿠폰
연 12회 제공
이디야커피
최대 50% 청구할인
디지털구독 서비스
30% 청구할인","해외겸용 15,000원",전월실적 30만원 이상
원스토어 1 하나카드,"원스토어
2% 할인
PC게임방
5% 할인
배달앱
5% 할인","국내전용 12,000원 / 해외겸용 15,000원",전월실적 30만원 이상
New Happy 하나카드,"해피오더, 해피마켓, 해피페이
1,000P / 5천원 적립
해피포인트 가맹점
2% 적립
온/오프 가맹점
0.5~1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
아모레퍼시픽 카드,"아모레퍼시픽
10% 적립
커피/제과
5% 적립
슈퍼
5% 적립","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
네이버페이 머니 하나 체크카드,"네이버페이
1.2% 포인트 적립",국내전용 없음 / 해외겸용 없음,전월실적 25만원 이상
알뜰교통 비바 e 플래티늄 체크카드,"대중교통
15% 캐시백
온라인쇼핑 최대
5천원 할인
해외직구 배송대행료
20% 할인",국내전용 없음 / 해외겸용 없음,전월실적 25만원 이상
트래블로그 체크카드,"해외 가맹점 이용
수수료 면제
해외 ATM 인출
수수료 면제
국내가맹점
0.3% 적립",해외겸용 없음,전월실적 없음
VIVA X 체크카드,"해외가맹점 수수료
면제 서비스
해외ATM 수수료
면제 서비스
국내가맹점
0.3% 캐쉬백",국내전용 없음 / 해외겸용 없음,전월실적 없음
VIVA+ 체크카드,"해외이용수수료
0.5% 면제
해외인출수수료
3% 면제
점심시간
7% 캐시백",해외겸용 없음,전월실적 없음
카카오페이 체크카드,"카카오페이
7% 캐시백
대중교통
5% 캐시백
스타벅스
5% 캐시백",해외겸용 없음,전월실적 25만원 이상
모두의 일상 체크카드,"모든가맹점
0.3% 적립
페이결제
0.4% 적립
해외가맹점
0.4% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
하나멤버스 1Q 체크카드,"편의점
5% 적립
베이커리
5% 적립
커피
5% 적립",해외겸용 없음,전월실적 20만원 이상
하나멤버스 Mega 체크카드,"생활업종 2만원당
200하나머니 적립
통신요금
3천~5천머니 적립
전가맹점 2만원당
100하나머니 적립",해외겸용 없음,전월실적 25만원 이상
아이부자 카드,"교통기능
사용 가능
소득공제
30% 혜택",국내전용 없음,전월실적 없음
포켓몬을 사랑하는 고객용 하나멤버스 1Q 체크카드,"생활 가맹점
5% 적립
플레이트
디자인 선택가능",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
하나로 전자카드 메가캐쉬백 더드림 체크카드,"생활필수업종 2만원당
200원 캐시백
통신료 최대
5천원 캐시백
CU편의점 포인트
2% 적립",국내전용 없음,전월실적 없음
해피포인트 체크카드,"해피포인트 더블 체크카드
해당가맹점 20% 캐쉬백
해피포인트 하나 체크카드
2만원당 100~200원 캐쉬백
해피포인트
5% 적립",국내전용 없음,전월실적 25만원 이상
L.PAY 하나 체크카드,"L.PAY결제/후불교통
2% 적립
롯데가맹점
0.5% 적립
이외 국내가맹점
0.1% 적립",해외겸용 없음,전월실적 없음
리틀프렌즈 체크카드,"편의점
1천원 캐시백
서점
1천원 캐시백
푸드
1천원 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 10만원 이상
넥슨 메이플스토리 하나BC 체크카드,"넥슨캐시/세라 온라인충전액
25% 캐시백
대중교통, 택시
5% 캐시백
온라인쇼핑
5% 캐시백",해외겸용 없음,전월실적 20만원 이상
시코르 체크카드,"시코르
5% 적립
신세계포인트
0.2% 적립
대중교통
7% 캐시백",해외겸용 없음,전월실적 20만원 이상
신세계 하나 체크카드,"신세계백화점
5% 캐시백
신세계백화점
0.2% 적립
버스,지하철
7% 캐시백",해외겸용 없음,전월실적 30만원 이상
넥슨 던전앤파이터 체크카드,"넥슨캐시/세라 온라인충전
15% 캐쉬백
대중교통,택시
5% 캐쉬백
온라인쇼핑, 생활
5% 캐쉬백",해외겸용 없음,전월실적 20만원 이상
하나 국민행복 체크카드,"휴대폰요금 자동이체
3천원 캐시백
요식업종
0.5% 캐시백
인터넷쇼핑몰
0.5% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 25만원 이상
NU Uniq,"국내 가맹점
최대 0.8% 청구할인
배달앱
1.5% 청구할인
커피·스트리밍
5% 청구할인","국내전용 20,000원 / 해외겸용20,000원",전월실적 40만원 이상
DA@카드의정석,"모든가맹점
0.8% 할인
생활업종
1.3% 할인
국내공항라운지
연 2회 무료(전월실적 30만원)","국내전용 5,000원 / 해외겸용 10,000원",전월실적 없음
NU I&U,"국내가맹점
1.0%~0.7% 청구할인
주유 리터당
60~100원 청구할인
대중교통
10% 청구할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 30만원 이상
카드의정석 POINT,"모든가맹점
0.8% 적립
교통,통신,전기차충전
5% 적립
간편결제
3% 추가적립","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
카드의정석 WOWRI,"모아포인트
5%~0.8% 적립
주요간편결제
3% 추가적립","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
알뜰교통카드,"대중교통
10% 할인
자동결제업종
10% 할인
페이코포인트
1% 적립","국내전용 13,000원 / 해외겸용 15,000원",전월실적 30만원 이상
카드의정석 PREMIUM MILEAGE(SKYPASS),"1,000원당
1~2마일 적립
국내외 공항라운지
무료 이용서비스
연1회
프리미엄기프트 제공","국내전용 135,000원 / 해외겸용 135,000원",전월실적 50만원 이상
카드의정석 NEW우리V카드,"대형마트
5% 할인
아웃백
25% 할인
CGV
6,000원 할인","국내전용 2,000원 / 해외겸용 5,000원",전월실적 30만원 이상
D4@카드의정석,"대중교통
33% 할인
커피
55% 할인
영화관
5,500원 할인","국내전용 9,000원 / 해외겸용 10,000원",전월실적 30만원 이상
카드의정석 UniMile,"저가항공
3% 적립
온라인여행사
2% 적립
국내외 공항라운지
무료 이용서비스","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
카드의정석 SHOPPING,"온·오프라인쇼핑
10% 할인
간편결제
5% 추가할인
주말주유
60원/L 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
로얄블루1000카드 [SKYPASS],"기프트바우처
100만원상당 제공
해외/면세점/항공사
2마일리지 적립
본인 및 동반1인
PP카드 제공","해외겸용 1,000,000원",전월실적 없음
그랑블루 1st,"국내가맹점
0.5% 적립
해외, 면세점
2% 특별적립
프리미엄기프트
5만원 증정","국내전용 100,000원 / 해외겸용 100,000원",전월실적 없음
카드의정석 댕댕냥이(강아지),"온라인쇼핑
10% 할인
공항라운지
무료 이용
동물병원
10% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
NU Blanc,"국내 전 가맹점
최대 1.8% 포인트 적립
해외 전 가맹점
3% 포인트적립
보너스포인트
20,000점 적립","국내전용 50,000원 / 해외겸용 50,000원",전월실적 없음
Diners Club POINT,"국내 가맹점
1~2.3% 적립
해외, 면세점
2% 적립
전세계 공항라운지
연 20회 무료이용","해외겸용 300,000원",전월실적 없음
카드의정석 UNTACT AIR,"정기결제 최대
20% 할인
배달앱
30% 적립
쿠팡
20% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 50만원 이상
카드의정석 APT Platinum,"아파트관리비
연최대18만원 할인
학원
10% 할인
공항라운지
무료 입장","국내전용 29,000원 / 해외겸용 29,000원",전월실적 40만원 이상
SKT 우리카드,"SKT통신기기/서비스
T라이트할부 제공
SKT통신요금
1만~2만원 청구할인
커피전문점
20% 청구할인","해외겸용 10,000원 / 해외겸용 15,000원",전월실적 30만원 이상
카드의정석 위비온 플러스,"국내가맹점
5% 할인
해외가맹점
3% 할인
워라밸업종
7% 할인","국내전용 13,000원 / 해외겸용 15,000원",전월실적 30만원 이상
카드의정석 DISCOUNT,"국내가맹점
0.7~1% 할인
S-OIL,현대오일뱅크
60~100원/L 할인
대중교통
10% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
NU Uniq point,"국내가맹점
0.5% 적립
쇼핑/교통/생활영역
2% 적립
주유/충전
60원/L 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
카드의정석 PREMIUM POINT,"전월실적조건없이
0.8~2% 적립
국내외공항라운지
The Lounge Members 무료이용
연1회
프리미엄기프트 제공","국내전용 110,000원 / 해외겸용 110,000원",전월실적 없음
KT 카드의정석 SUPER DC Ⅱ,"KT통신비 최대
1만3천원 할인
모든 영화관
3,000원 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
카드의정석 APT,"아파트관리비
연최대18만원 할인
도시가스
3천원 할인
넷플릭스
30% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
OK캐쉬백 위비할인카드,"쇼핑
7% 할인
생활
7% 할인
OK캐쉬백
멤버십 서비스","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
카드의정석 MILEAGE SKYPASS,"국내외가맹점 1,000원당
1마일 적립
해외일시불 1,000원당
1마일 추가적립
전세계 공항라운지
무료 이용서비스","국내전용 39,000원 / 해외겸용 39,000원",전월실적 50만원 이상
LGU+ 카드의정석 Ⅱ,"LGU+ 통신요금 최대
1만3천원 할인
LGU+ 단말기
장기할부 서비스
모든 영화관
3천원 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
갤러리아 우리카드,"갤러리아
5% 할인
해외가맹점
1% 할인
영화관
5,000원 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
카드의정석 UNTACT PLATINUM,"정기결제 최대
20% 할인
쿠팡로켓와우
2,900원 할인
공항라운지
무료 이용","국내전용 25,000원 / 해외겸용 25,000원",전월실적 40만원 이상
카드의정석 댕댕냥이(고양이),"온라인쇼핑
10% 할인
공항라운지
무료 이용
동물병원
10% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
NU 후불하이패스,"카드의정석 후불
하이패스 기능
평일 출퇴근 통행료
20~50% 할인","국내전용 2,000원",전월실적 없음
카카오뱅크 우리카드,"카카오톡 선물하기
50% 할인
카카오페이 결제
10% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
ALL 다모아카드,"모아포인트
1.0~1.8% 적립
SK주유소 머핀포인트
80점/L 적립
PAYCO/CJ ONE/OK캐쉬백/CU
멀티멤버십 제공","국내전용 10,000원 / 해외겸용 12,000원",전월실적 없음
카드의정석 HEROES,"국내가맹점
5~0.6% 적립
간편결제
3% 추가적립
국내이용금액
0.1% 광복회 후원","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
카드의정석 UNTACT,"정기결제 최대
20% 할인
쿠팡로켓와우
2,900원 할인
게임정기결제
10% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
카드의정석 PREMIUM MILEAGE(AsianaClub),"1,000원당
1.5~3마일 적립
국내외공항라운지
The Lounge Members 무료이용
연1회
프리미엄기프트 제공","국내전용 135,000원 / 해외겸용 135,000원",전월실적 50만원 이상
LG전자 베스트렌탈 우리카드,"LG전자 베스트렌탈
최대2만원 할인","국내전용 12,000원 / 해외겸용 15,000원",전월실적 30만원 이상
아이파킹 크레딧 카,"주차비
최대1만원 할인
주유/충전소
100원/L 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 30만원 이상
국민행복카드 S2,"의료(임신·출산)
7% 할인
학습지/학원/서점
7% 할인
영상/음원서비스
20% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
ONLY 나만의카드,"자동납부
10% 할인
대형할인점
2,000원 할인
스타벅스
10% 할인","국내전용 13,000원 / 해외겸용 15,000원",전월실적 30만원 이상
카드의정석 UniMile in JEJU,"여행
제주특화 서비스
UniMile 최대
3% 적립
공항라운지
무료 이용","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
카드의정석 L.POINT,"영화/외식/커피
3% 적립
온라인/홈쇼핑
1% 적립
국내가맹점
0.7% 기본적립","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
